,name,city,content,score,date
44,无耻不混蛋,北京,这是一部拍给所有异乡人看的电影。等了这么多年，终于等来这样的电影。它关乎爱情，却又不仅仅只是爱情，还有怎么也逃不走、化不开的亲情。它告诉我们，什么叫“家人”，什么叫“家”。正是因为“羁绊”与“牵挂”。没了“你”，还有“我”吗？或许所有的“前任”，都是我们永远无法抵达的“乌托邦”。,推荐,2018-04-23
45,尼克Lui,广东广州,垃圾做作的电影 这么多年了还在不断的重复搞这种烂片 大晚上被抓住票房造假 哈哈哈哈哈哈 垃圾怎么包装也是垃圾！,很差,2018-04-28
46,大奇特(Grinch),北京,低配版甜蜜蜜，纽约梦变北漂梦，邓丽君变盗版盘，一趟火车，彩色黑白,较差,2018-04-23
47,盲忙,北京,不止是一个爱情故事，而是追梦过程中的得到与失去，与人生的大是大非相比，爱情是那么微不足道，却又弥足珍贵啊，它发生在特定的时间，地方和特定的人身上，哪一个不对都不行啊。除了周冬雨最后的选择之外，没有太多戏剧化的处理，但也正因为这个不同寻常的选择，将整个文本升华了。,推荐,2018-04-24
48,九只苍蝇撞墙,"Montréal, Canada",虽然不确认和现实中的北漂是否有对等的映照关系，但是这二人起码谈了大陆电影里让人感到有趣的一段恋爱。只是最后不可避免地觉得周冬雨爱上的是田壮壮。,还行,2018-04-28
49,三水涵,四川成都,看电影真的是一件太个人太感性的事 实实在在地被戳中了 就算有瑕疵 也没办法说不好,推荐,2018-04-28
50,夏蝉x,江苏南京,讲真，营销得有点过了，当质量配不上期望值时就挺要命，剧情中规中矩，程式化的北漂没什么亮点，周冬雨的演员人设看多了有些腻，从捉妖记开始就get不到井柏然的演技。不过还是很服奶茶的号召力的……,较差,2018-04-28
51,翻滚吧！蛋堡,北京,田壮壮老师连续发催泪大招，简直不给金士杰留活路,还行,2018-04-28
52,胤祥,北京,7分妥妥的。周冬雨迄今最佳状态了吧，角色写的好，演得更好。刘若英做导演就是自带剧透😂。最佳前女友之外不忘占个亲情戏。宾哥很卖力。黑白段落比较符合刘若英气质，歌太多，结尾崩了。拿「如果爱」或者「相爱相亲」做参考系的话，如果真的是刘若英本人把北漂题材拿捏得这么地道，那真是天才了。,推荐,2018-04-28
53,葡萄猪不爱睡觉,上海,从形式内容到档期营销，统统都是模仿当年的致青春，致青春票房年度第二，这部最终估计也不会差,很差,2018-04-26
54,乌鸦火堂,北京,“幸福不是故事，不幸才是”。演员、情感、细节、台词等完全到位，故事就弱了，缺乏因果关系，前半段与后20分钟极佳，中段冗长略矫情，但还是会被感动，情绪渲染到位，追梦中的得与失，绕不开的爱情，永留遗憾的亲情，周冬雨一如既往的赞，奶茶当导演有潜力，最爆裂一击来自田壮壮，这位可拿影帝,还行,2018-04-24
55,今夜无人入梦,关注此人,在我眼里第二个无问西东，投机取巧，毫无才华，对不起,很差,2018-04-28
56,邓安庆,北京,感觉有点冗长，也可以不用这么煽情。演员是合格的。,还行,2018-04-28
57,一一,北京,"只有四个字，生拼硬凑！
第一次看电影中途离场！",很差,2018-04-28
58,S@m,上海,奶茶导演处女作，中规中矩，说走心或者矫情都行，每个经历不同的人能从中找到自己感动的点。周冬雨一如既往挥洒自如，井宝表演加一星！故事是好故事，只是过了那个年纪，哭不出来啊，唉～ 4,推荐,2018-04-27
59,张小文的女友,吉林吉林,电影还可以……可背后的运作比电影更有趣。,还行,2018-04-28
60,夏蝉x,江苏南京,讲真，营销得有点过了，当质量配不上期望值时就挺要命，剧情中规中矩，程式化的北漂没什么亮点，周冬雨的演员人设看多了有些腻，从捉妖记开始就get不到井柏然的演技。不过还是很服奶茶的号召力的……,较差,2018-04-28
61,翻滚吧！蛋堡,北京,田壮壮老师连续发催泪大招，简直不给金士杰留活路,还行,2018-04-28
